price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
14200000,р-н Лефортово,Площадь Ильича,23,пешком,32,9,12,28,1997,Без ремонта,Монолитный,None
13950000,р-н Лефортово,Авиамоторная,7,пешком,35,10,7,16,1979,Евроремонт,Кирпичный,Железобетонные
8970000,р-н Соколиная гора,Соколиная гора,16,пешком,35,10,1,12,1965,Косметический,Блочный,Железобетонные
3900000,р-н Нижегородский,Авиамоторная,16,пешком,11,1,1,4,1997,Евроремонт,None,None
13500000,р-н Лефортово,Лефортово,6,пешком,35,9,4,9,1975,None,None,None
12500000,р-н Лефортово,Лефортово,6,пешком,35,9,7,9,1975,None,None,None
14000000,р-н Лефортово,Лефортово,1,пешком,38,8,4,17,1988,Евроремонт,Панельный,Железобетонные
7500000,р-н Лефортово,Лефортово,7,пешком,33,9,1,5,1958,Евроремонт,Кирпичный,Железобетонные
8770000,Опалиха микрорайон,Аникеевка,1,пешком,41,9,3,4,1997,Дизайнерский,None,None
7700000,р-н Митино,Митино,7,пешком,29,5,22,25,2017,Дизайнерский,Монолитный,None
10950000,мкр. Павшинская пойма,Волоколамская,18,пешком,37,11,24,25,2015,Евроремонт,Панельный,Железобетонные
4800000,Рождествено село,Волоколамская,30,транспорт,47,9,10,10,2013,Косметический,Монолитный,Железобетонные
7000000,мкр. СГШ,Митино,8,транспорт,22,9,15,29,2019,Евроремонт,None,None
7700000,р-н Митино,Митино,7,пешком,29,5,16,25,2017,Дизайнерский,Монолитный,None
13350000,р-н Митино,Волоколамская,10,пешком,47,10,20,25,2007,Косметический,Монолитный,Железобетонные
10000000,мкр. Павшино,Мякинино,10,транспорт,42,5,29,44,2014,Дизайнерский,Монолитный,Железобетонные
15950000,р-н Лефортово,Москва-Товарная,16,пешком,31,9,8,28,1997,Дизайнерский,None,None
9999999,мкр. Павшинская пойма,Мякинино,15,пешком,41,9,15,25,2014,Евроремонт,Монолитный,Железобетонные
9790000,р-н Митино,Пятницкое шоссе,6,транспорт,40,11,7,24,2022,Косметический,Монолитный,None
10500000,мкр. Павшинская пойма,Пенягино,15,пешком,41,9,10,17,2012,Дизайнерский,Монолитный,Железобетонные
11800000,мкр. Павшинская пойма,Мякинино,20,пешком,41,12,19,21,2021,Евроремонт,Кирпичный,None
7700000,р-н Митино,Митино,7,пешком,29,5,22,25,2017,Дизайнерский,Монолитный,None
9000000,р-н Митино,Митино,15,пешком,38,10,2,25,2020,Косметический,None,None
9500000,мкр. Павшинская пойма,Мякинино,15,пешком,43,11,21,25,2013,None,None,None
10450000,мкр. Павшинская пойма,Мякинино,16,пешком,41,11,8,19,1997,Евроремонт,None,None
10800000,р-н Митино,Митино,6,пешком,40,8,8,14,1992,None,None,None
9700000,мкр. Павшинская пойма,Мякинино,16,пешком,41,10,16,19,1997,None,None,None
9300000,р-н Южное Тушино,Трикотажная,18,пешком,35,9,7,14,1973,Косметический,Блочный,Железобетонные
13290000,р-н Южное Тушино,Волоколамская,35,пешком,36,9,13,16,2022,Косметический,None,None
11500000,р-н Митино,Митино,9,пешком,42,13,3,17,1998,Косметический,Панельный,Железобетонные
12700000,мкр. Павшинская пойма,Мякинино,15,пешком,39,9,16,25,2015,Косметический,Панельный,Железобетонные
8200000,мкр. Южный,Строгино,11,транспорт,32,7,4,10,1992,Косметический,Блочный,Железобетонные
11350000,мкр. Павшино,Волоколамская,10,транспорт,37,12,37,44,2014,Евроремонт,Монолитный,Железобетонные
10400000,Путилково деревня,Митино,8,транспорт,59,10,4,11,2008,Евроремонт,Монолитный,Железобетонные
11400000,мкр. Павшинская пойма,Мякинино,17,пешком,40,9,23,29,2021,None,None,None
11450000,р-н Митино,Пятницкое шоссе,20,пешком,41,9,17,26,2019,None,None,None
13500000,р-н Митино,Пятницкое шоссе,1,пешком,41,9,12,14,1992,None,None,None
6950000,мкр. Райцентр,Красногорская,10,пешком,37,9,6,9,1973,Косметический,Кирпичный,Железобетонные
9000000,р-н Митино,Митино,9,пешком,30,6,6,24,1997,None,None,None
9900000,мкр. Павшино,Павшино,13,пешком,32,8,6,44,2014,Косметический,Монолитный,Железобетонные
10990000,р-н Митино,Митино,7,пешком,38,10,17,22,1993,Без ремонта,Панельный,Железобетонные
10500000,р-н Митино,Пятницкое шоссе,7,пешком,39,8,10,17,1993,Косметический,Панельный,Железобетонные
10400000,р-н Митино,Митино,3,пешком,38,8,3,17,1991,None,None,None
6250000,Рождествено село,Тушинская,30,транспорт,52,11,4,8,2005,None,None,None
9500000,мкр. Павшинская пойма,Пенягино,14,пешком,42,8,8,16,2005,Косметический,Панельный,Железобетонные
10800000,р-н Митино,Митино,7,пешком,28,6,14,25,2013,Евроремонт,Панельный,Железобетонные
10300000,мкр. Павшинская пойма,Мякинино,14,пешком,52,14,17,22,2011,Косметический,Панельный,Железобетонные
6200000,Рождествено село,Волоколамская,30,транспорт,50,17,3,9,2013,Косметический,Монолитный,Железобетонные
12800000,р-н Северное Тушино,Планерная,8,транспорт,39,10,13,17,2022,None,None,None
6000000,Путилково деревня,Митино,15,транспорт,23,4,10,20,1997,None,None,None
9449999,Путилково деревня,Митино,13,транспорт,48,10,7,22,2015,Евроремонт,Монолитный,Железобетонные
6600000,Путилково деревня,Пятницкое шоссе,7,транспорт,32,10,14,25,1997,Без ремонта,None,None
13700000,р-н Митино,Волоколамская,7,пешком,49,11,4,25,1997,Евроремонт,Монолитный,Железобетонные
11800000,р-н Митино,Пятницкое шоссе,15,пешком,39,12,25,25,2019,Дизайнерский,Монолитный,Железобетонные
8400000,Отрадное поселок,Пятницкое шоссе,10,транспорт,40,16,2,9,2022,Без ремонта,Монолитный,None
9900000,мкр. Павшинская пойма,Мякинино,12,пешком,35,13,16,17,1997,Дизайнерский,Монолитный,Железобетонные
8000000,Раздоры деревня,Строгино,7,транспорт,44,17,4,32,2021,None,None,None
10300000,р-н Митино,Митино,3,пешком,39,8,14,22,1994,Без ремонта,Панельный,Железобетонные
8800000,р-н Митино,Пятницкое шоссе,16,пешком,33,7,18,24,2022,Без ремонта,Монолитно кирпичный,None
11490000,р-н Митино,Волоколамская,17,пешком,37,5,14,17,1997,Евроремонт,Панельный,Железобетонные
7000000,р-н Митино,Митино,9,пешком,27,7,8,24,2015,Дизайнерский,Монолитный,None
8900000,мкр. Павшинская пойма,Пенягино,15,пешком,43,12,4,25,1997,Без ремонта,Монолитный,Железобетонные
6600000,Путилково деревня,Пятницкое шоссе,7,транспорт,33,11,15,22,1997,Евроремонт,Монолитный,None
8349999,р-н Южное Тушино,Сходненская,12,пешком,38,13,1,22,1985,Косметический,Панельный,Железобетонные
9500000,р-н Митино,Волоколамская,13,пешком,36,7,5,17,1997,None,None,None
8600000,р-н Южное Тушино,Трикотажная,4,транспорт,34,9,1,3,1959,Косметический,Кирпичный,Железобетонные
10500000,р-н Митино,Пятницкое шоссе,19,пешком,37,9,11,25,2019,Без ремонта,Монолитный,Железобетонные
9880000,р-н Митино,Волоколамская,14,пешком,38,8,6,17,1997,None,Панельный,Железобетонные
7300000,Аристово деревня,Пятницкое шоссе,10,транспорт,38,18,3,6,2021,Без ремонта,Монолитно кирпичный,None
10340000,р-н Митино,Митино,8,пешком,38,8,14,17,1998,Косметический,Панельный,Железобетонные
7700000,Отрадное поселок,Пятницкое шоссе,10,транспорт,38,16,11,16,2022,Без ремонта,Монолитный,None
5500000,Нахабино рп,Нахабино,12,пешком,36,9,1,2,1997,Косметический,Блочный,Смешанные
11500000,р-н Митино,Митино,2,пешком,38,8,6,17,1992,None,None,None
6700000,мкр. Новогорск,Пятницкое шоссе,6,транспорт,42,11,3,4,2017,None,None,None
10500000,р-н Митино,Митино,11,пешком,39,10,14,22,1999,Косметический,Панельный,Железобетонные
8900000,мкр. Павшинская пойма,Пенягино,8,пешком,41,10,1,17,2006,Косметический,Панельный,Железобетонные
14500000,р-н Митино,Митино,8,пешком,40,11,20,25,2016,Дизайнерский,Монолитный,Железобетонные
11400000,р-н Митино,Пятницкое шоссе,18,пешком,37,10,11,26,2019,Косметический,None,Железобетонные
10480000,р-н Митино,Митино,1,пешком,38,8,16,17,1997,Косметический,None,None
10900000,р-н Митино,Митино,5,пешком,38,8,9,17,1994,Косметический,Панельный,Железобетонные
