price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
6900000,31,18,35,2,36,10,3,3,2016,5,6,1
10500000,11,19,6,1,40,9,7,23,2010,4,4,2
12500000,15,20,3,2,40,10,9,16,1997,5,1,1
7250000,32,16,25,2,49,12,2,17,1997,4,4,2
8299000,23,27,25,1,50,15,5,6,2018,4,3,2
7500000,17,16,5,2,33,10,3,20,1997,3,3,1
7270000,33,27,7,2,43,15,3,3,2011,5,3,2
7590000,17,15,8,2,44,12,1,11,2008,5,3,2
7300000,22,18,8,2,33,8,5,6,1997,1,1,1
6950000,17,15,8,2,38,8,9,17,2007,2,1,1
6200000,28,18,20,2,33,8,1,8,2014,4,3,2
6190000,13,23,3,1,19,9,25,29,2019,5,1,1
9750000,11,17,20,1,39,9,27,30,2020,1,2,1
9200000,11,19,14,1,44,8,16,16,2005,3,4,2
9100000,11,19,14,1,40,8,4,17,2005,5,4,2
8900000,11,17,20,1,43,9,16,16,2006,5,4,2
9200000,15,20,19,1,35,9,14,14,1975,1,4,2
9100000,11,17,17,1,38,9,7,28,1997,1,2,1
8900000,10,16,14,1,33,10,11,12,1998,1,4,2
8900000,11,16,15,1,39,10,20,29,2021,2,1,1
8700000,11,17,17,1,39,10,12,29,2021,2,1,1
8350000,15,20,24,1,35,9,11,12,1971,2,1,1
13700000,10,16,8,1,44,10,2,25,2008,2,1,1
10300000,10,15,8,1,38,8,11,17,1998,3,4,2
10380000,10,16,10,1,34,9,11,22,1997,5,4,2
11800000,10,15,7,1,38,10,9,22,1993,5,4,2
9700000,10,15,5,1,38,8,17,17,1994,3,4,2
9500000,10,16,10,1,33,9,12,16,1998,5,4,2
14700000,10,15,7,1,45,12,2,25,2016,5,3,2
10600000,10,15,12,1,38,9,16,17,1996,2,1,1
9600000,10,15,18,1,38,8,2,17,1996,2,1,1
11150000,10,18,6,1,38,8,8,17,1993,5,4,2
10250000,11,19,11,1,42,9,19,22,2012,5,3,2
10000000,10,15,15,1,37,7,6,17,1996,2,1,1
11200000,10,15,11,1,37,9,8,22,1999,5,4,2
10500000,10,16,10,1,38,9,12,22,1999,5,4,2
13790000,10,15,8,1,41,11,25,25,2013,2,1,1
15500000,10,16,7,1,48,11,9,25,2007,5,3,2
11950000,34,20,17,1,39,9,21,53,1997,2,1,1
9900000,11,19,15,1,32,9,19,22,2011,2,1,1
10400000,10,16,10,1,39,9,13,14,1997,5,4,2
11800000,11,17,13,1,39,19,12,19,2020,2,1,1
16000000,10,15,8,1,48,9,21,25,2015,4,3,2
14200000,10,16,7,1,48,13,3,25,2007,3,3,2
13450000,11,17,19,1,50,9,25,28,2016,4,3,2
13500000,10,18,1,1,41,9,12,14,1992,2,1,1
13100000,10,15,8,1,34,9,12,25,2013,5,4,2
10700000,11,17,16,1,37,10,16,19,2020,5,1,1
10650000,10,16,8,1,34,12,9,16,1998,2,1,1
9500000,10,18,6,1,38,8,1,17,1993,3,4,2
10500000,10,18,20,1,37,10,18,26,2019,5,1,1
12000000,15,26,15,2,38,8,9,17,1991,3,4,2
9500000,10,15,1,1,38,7,7,17,1991,3,4,2
9900000,10,18,4,1,36,7,1,17,1992,1,4,2
9000000,11,19,7,1,44,8,8,16,2005,5,4,2
9500000,10,15,9,1,30,9,23,24,2015,5,3,1
3650000,30,16,35,2,19,3,4,5,1997,3,1,1
13280000,10,16,8,1,42,10,24,25,2008,2,1,1
11600000,11,17,15,1,42,8,3,17,2011,2,1,1
15800000,34,20,5,1,48,23,3,20,2022,2,1,1
14199000,11,17,19,1,48,8,2,28,2016,4,3,2
15999000,10,15,7,1,52,12,23,25,2016,3,3,2
12650000,11,17,15,1,51,12,14,28,2016,4,3,2
11500000,10,15,3,1,39,10,16,17,1992,2,1,1
11500000,11,17,10,1,39,9,14,23,2014,5,4,2
10600000,10,15,20,1,38,8,16,17,1996,2,1,1
10600000,11,16,14,1,42,20,8,23,2014,4,3,2
10500000,11,16,16,1,39,10,5,29,2019,3,2,1
10500000,11,16,16,1,39,9,20,39,2020,4,2,1
10250000,11,17,16,1,33,10,2,25,2015,5,4,2
10200000,10,15,2,1,39,8,14,14,1995,3,4,2
10000000,11,17,15,1,50,10,3,25,2015,2,1,1
10750000,35,28,5,1,26,6,7,13,1968,1,5,2
2150000,36,24,117,2,33,6,1,3,1980,3,4,2
14300000,11,17,19,1,43,20,4,28,2016,4,3,2
11050000,11,19,14,1,42,10,15,17,2006,5,2,2
10990000,11,19,14,1,42,10,8,16,2005,5,4,2
9500000,17,25,10,2,43,11,13,22,2016,2,1,1
11600000,11,16,16,1,37,10,8,29,2020,2,1,1
14950000,11,17,10,1,39,10,7,11,2014,4,4,2
13500000,10,16,11,1,54,11,2,20,2006,3,3,2
11500000,37,29,15,1,32,6,3,8,1960,1,2,2
14900000,35,30,7,1,33,8,7,9,1966,3,2,2
13490000,38,28,8,1,40,8,9,9,1928,2,1,1
21800000,38,28,12,1,47,10,12,20,2016,2,1,1
5900000,35,30,4,1,12,9,1,4,1997,4,1,1
22000000,38,28,12,1,45,16,8,20,2016,4,1,1
12000000,38,28,10,1,27,6,8,9,1974,5,4,2
14300000,38,31,5,1,35,7,3,12,1972,2,1,1
13000000,35,28,7,1,34,7,4,9,1966,4,5,2
11800000,35,31,10,1,37,8,14,14,1997,3,2,2
14500000,35,28,12,1,35,9,7,12,1968,5,5,2
19800000,35,30,11,1,42,10,8,12,1987,5,2,2
13850000,37,31,11,1,29,5,3,9,1963,5,2,2
16500000,38,28,13,1,46,11,11,23,2020,1,1,1
10300000,38,28,7,1,32,7,5,8,1960,5,2,2
12550000,37,28,15,1,32,6,2,9,1963,2,1,1
14500000,37,32,15,1,32,4,6,9,1962,2,5,2
14000000,37,31,20,1,38,5,6,9,1962,5,5,2
24900000,35,33,3,1,41,9,13,14,1981,3,2,2
11900000,35,34,7,1,34,9,3,5,1958,3,2,2
11299999,39,35,13,1,37,7,2,17,1998,2,1,1
30500000,39,35,10,1,64,16,19,20,2021,1,1,1
30500000,39,35,12,1,64,16,19,20,1997,1,1,1
23900000,39,35,19,1,50,8,41,48,2010,4,3,2
12190000,39,35,7,1,32,5,3,9,1964,5,5,2
4158000,40,36,5,1,15,9,2,10,1997,2,1,1
13000000,35,28,5,1,32,9,1,9,1967,2,1,1
5950000,38,28,9,1,20,9,1,5,1928,2,1,1
23000000,35,28,7,1,56,19,5,14,2015,2,1,1
18949000,35,28,10,1,39,7,7,12,1981,3,2,2
13650000,40,35,14,1,33,6,3,9,1963,4,4,2
16800000,41,37,20,1,40,11,9,17,2006,5,2,2
11000000,42,38,8,1,36,8,1,9,1969,5,5,2
8700000,40,36,4,1,19,9,9,10,1997,4,1,1
11500000,40,36,4,1,28,9,9,10,1997,4,1,1
8050000,40,36,5,1,17,9,7,10,1997,5,1,1
9500000,39,37,8,1,32,5,9,9,1963,3,5,2
15000000,39,35,1,1,40,8,3,24,2008,2,1,1
17350000,40,36,9,1,39,8,22,25,2003,2,1,1
10500000,39,35,5,1,31,5,4,9,1997,2,4,2
10300000,39,35,5,1,32,6,3,9,1997,2,5,2
15500000,39,35,5,1,40,10,12,22,1997,2,6,2
11700000,41,37,14,1,30,6,3,9,1965,5,2,2
12700000,39,35,8,1,38,10,2,22,2005,2,4,2
12800000,41,35,10,1,31,6,3,9,1966,2,1,1
11550000,39,39,16,1,37,8,10,17,2005,3,3,2
14500000,41,35,12,1,38,10,15,18,1982,5,4,2
18300000,40,36,8,1,41,11,20,23,2016,3,1,1
14500000,41,35,12,1,38,10,6,18,1982,5,4,2
7250000,40,36,5,1,18,3,4,10,1986,2,6,1
13999999,41,40,11,1,35,10,8,16,1975,2,1,1
16550000,40,36,9,1,35,7,9,22,2017,5,4,2
17500000,39,37,10,1,39,9,19,19,2021,3,5,2
10000000,40,36,15,1,31,6,2,9,1963,2,4,2
10400000,41,36,7,1,31,5,5,5,1960,2,1,1
16900000,40,35,5,1,40,9,8,16,2007,2,1,1
15200000,39,35,15,1,41,10,20,24,2021,5,2,1
14500000,39,35,2,1,40,8,4,24,1997,2,1,2
14000000,39,41,8,1,41,9,11,12,1984,3,4,2
12500000,41,35,10,1,31,6,3,9,1997,5,2,2
15690000,39,35,1,1,35,8,5,24,2008,2,1,1
6600000,40,36,4,1,13,3,5,10,1986,2,6,1
15500000,39,35,15,1,41,11,15,23,2021,3,2,1
14000000,39,35,4,1,36,6,15,16,1978,3,4,2
13000000,39,41,10,1,38,8,1,12,1997,5,5,2
13000000,39,35,12,1,39,10,18,22,1997,2,4,2
7450000,40,36,6,1,17,4,5,10,1986,2,6,1
14100000,39,35,10,1,34,7,16,24,1997,3,3,2
11800000,39,41,6,1,38,8,15,17,1984,3,5,2
19500000,41,37,12,1,50,12,12,23,2007,2,1,1
16500000,40,36,4,1,42,9,8,25,2010,5,3,2
12500000,39,35,16,1,37,9,4,22,2002,3,4,2
14800000,41,36,11,1,35,8,6,24,2009,3,3,2
16000000,41,40,18,1,46,15,7,9,1960,5,2,2
13800000,39,41,8,1,40,9,9,12,1984,2,1,1
10350000,40,36,8,1,31,6,1,9,1963,3,4,2
22000000,39,35,5,1,43,8,2,17,2010,2,1,1
15700000,41,37,13,1,38,9,3,9,2008,4,2,2
15000000,39,35,16,1,40,10,9,22,1997,3,4,2
13900000,41,36,10,1,32,6,8,10,1965,2,1,1
13250000,39,35,16,1,38,10,12,22,2002,2,1,1
12200000,42,38,8,1,33,8,9,16,1972,5,4,2
12000000,39,41,5,1,37,9,3,17,1984,3,4,2
13400000,39,41,6,1,40,8,7,17,1984,5,4,2
11600000,40,36,10,1,33,7,7,9,1964,3,4,2
13000000,43,37,9,1,37,8,2,16,1973,3,2,2
12400000,40,35,15,1,35,7,8,13,1976,3,4,2
16400000,39,35,4,1,42,9,15,17,2010,5,3,2
14500000,40,36,8,1,34,8,14,23,2018,2,1,1
11300000,39,35,14,1,38,8,15,16,1981,1,4,2
14800000,39,35,13,1,39,10,13,21,2015,5,3,2
7990000,40,36,4,1,18,9,5,10,1997,2,1,1
